price,location,area,bedrooms,bathrooms,purpose,property_type
18500000.0,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore, Punjab",5.0,5.0,5.0,For Sale,House
21000000.0,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore, Punjab",5.0,5.0,5.0,For Sale,House
15000000.0,"Military Accounts Housing Society, Lahore, Punjab",4.0,4.0,4.0,For Sale,House
53500000.0,"Lake City - Sector M-5, Lake City, Raiwind Road, Lahore, Punjab",10.0,6.0,6.0,For Sale,House
18500000.0,"Lake City, Raiwind Road, Lahore, Punjab",5.0,3.0,2.0,For Sale,House
40000000.0,"Bahria Town - Jasmine Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
45500000.0,"Askari 11, Askari, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
67500000.0,"DHA Phase 7 - Block Q, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
117500000.0,"DHA Phase 6 - Block K, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
100000000.0,"Wapda Town Phase 1, Wapda Town, Lahore, Punjab",20.0,6.0,6.0,For Sale,House
17500000.0,"Park View City, Lahore, Punjab",5.0,5.0,6.0,For Sale,House
21500000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
79500000.0,"DHA Phase 6 - Block H, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
36000000.0,"Central Park - Block A, Central Park Housing Scheme, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
21000000.0,"Central Park - Block A1, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
14000000.0,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
23500000.0,"Central Park - Block A1, Central Park Housing Scheme, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
41500000.0,"DHA Phase 8 - Ex Park View, DHA Phase 8, DHA Defence, Lahore, Punjab",10.0,4.0,7.0,For Sale,House
45500000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",10.0,5.0,7.0,For Sale,House
25500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
21100000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
20000000.0,"Central Park - Block B, Central Park Housing Scheme, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
111000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
140000000.0,"DHA Phase 1, DHA Defence, Lahore, Punjab",40.0,5.0,6.0,For Sale,House
79500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
